board,angle,climb_name,date,logged_grade,displayed_grade,difficulty,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
tension,35,Airwalk,2022-04-28 19:01:31,6b,6a+,17.16,1,False,1,1,False,True,
tension,35,Michelle amazing,2022-05-01 12:36:23,5a,5a,13.0,1,False,1,1,False,True,
tension,35,Tension Intro 2,2022-05-01 12:37:54,4a,4a,10.1538,1,False,1,1,False,True,
tension,35,Despicable Me,2022-05-01 12:39:23,5b,5b,14.0,1,False,1,1,False,True,
tension,35,wormup 6,2022-05-01 12:41:27,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Master-Stroke,2022-05-01 12:46:07,5a,5a,13.0,1,False,1,1,False,True,
tension,35,foxy,2022-05-01 12:47:04,4b,4b,10.7844,1,False,1,1,False,True,
tension,35,An Actual V1,2022-05-01 12:51:06,5a,5a,13.0,1,False,1,1,False,True,
tension,35,PincheyParker,2022-05-01 12:52:54,5b,5b,14.0,2,False,1,2,False,True,
tension,35,Word Goes Around,2022-05-01 12:57:25,5c,5c,15.0,1,False,1,1,False,True,
tension,35,PincheyParker,2022-05-02 18:07:34,5b,5b,14.0,1,False,2,3,True,True,
tension,35,Word Goes Around,2022-05-02 18:10:01,5c,5c,15.0,1,False,2,2,True,True,
tension,35,Bromance XXVIII,2022-05-02 18:20:36,5c,5c,15.1875,1,False,1,1,False,True,
tension,35,Katodestroyer,2022-05-02 18:23:39,5c,5c,15.1579,1,False,1,1,False,True,
tension,35,Captain Tight Pants,2022-05-02 18:57:55,6b,6b,17.9268,1,False,1,1,False,True,
tension,35,Less Power,2022-05-02 19:00:06,6b,6b,18.0,1,False,1,1,False,True,
tension,35,Dog,2022-05-02 19:29:26,6c,6c,19.8815,1,False,1,1,False,True,
tension,35,nails in my candy,2022-05-02 20:23:14,7a,7a,21.916,6,True,1,6,False,True,
tension,35,nails in my candy,2022-05-02 20:23:17,7a,7a,21.916,6,True,1,12,True,True,
tension,35,It's Alive!,2022-05-05 16:22:51,4b,4b,11.1874,1,False,1,1,False,True,
tension,35,Pre-game,2022-05-05 16:24:07,4a,4a,10.1077,1,False,1,1,False,True,
tension,35,Whoppin’ V1,2022-05-05 16:25:21,4c,4c,12.2892,1,False,1,1,False,True,
tension,35,Ballz,2022-05-05 16:26:48,4a,4b,10.6447,1,False,1,1,False,True,
tension,35,Whatever,2022-05-05 16:29:05,5a,5a,13.4,1,False,1,1,False,True,
tension,35,Wall of fame,2022-05-05 16:41:07,4c,4c,11.8485,1,False,1,1,False,True,
tension,35,Matchbook,2022-05-05 16:43:07,5c,5c,14.9277,1,False,1,1,False,True,
tension,35,Fingery,2022-05-05 16:47:59,5c,6a+,17.0,1,False,2,2,True,True,
tension,35,The Cove,2022-05-05 16:50:10,5c,5c,15.0,1,False,1,1,False,True,
tension,35,All the rest are hard,2022-05-05 16:52:45,6a,6a,16.0,1,False,1,1,False,True,
